歌曲,歌手,連結,作詞,作曲,編曲,製作,歌詞全文,cluster_name,emo_joy,emo_sad,emo_calm,emo_angry,emo_fear_anxiety,emo_disgust,cluster
士多啤梨蘋果橙,Twins,,,伍樂城,伍樂城,伍樂城,"炒焗炆煎煮 我怎麼可以輸
親蜜的鰻魚 叫我不敢共處
不用驚番薯 我的水果也許也可煮煮
今夜不下廚 沒壞處
誘惑太大了 忍到心也酸 想去吃但太多衫要穿
要是戒盡到 少了一個圈 請答應
再相戀 愛定要吃苦 但甜蜜更短 應該怎去選
不吃飽 心更亂
士多啤梨啤梨蘋果橙
什麼A餐B餐不敢揀
是否比起失戀還悽慘
為了 想清減
士多啤梨啤梨蘋果橙
和你試試這種燭光晚餐
幸福比起初戀還簡單
我只 我只須減
G (Rap):士多啤梨啤梨蘋果橙 蘋果橙士多啤梨點樣揀
系咪 減一磅 佢就愛我多一晚
想愛一個人 使唔使咁艱難
蘋果橙士多啤梨點樣揀 到底有冇人陪我撐
搞成咁樣真繫有D唔抵爭
好在我唔系冇得揀
T: 炒飯的味道 C: 吃過都知道好
T: 孤獨的味道 G: 卻更不想遇到
T: 一磅一絕路 C: 也許減到我可與他修好
T: 一磅一自豪 G: 但願看到
誘惑太大了 忍到心也酸 想去吃但太多衫要穿
要是戒盡到 少了一個圈 請答應
再相戀 愛定要吃苦 但甜蜜更短 應該怎去選
不吃飽 心更亂
士多啤梨啤梨蘋果橙
什麼A餐B餐不敢揀
是否比起失戀還悽慘
為了 想清減
士多啤梨啤梨蘋果橙
和你試試這種燭光晚餐
幸福比起初戀還簡單
我只 我只須減
C (Rap): 士多啤梨蘋果橙 蘋果橙士多啤梨點樣
十蚊兩梳蕉 三蚊一雙橙 你話失戀慘定系戒口難
食餐好驚餐飽 情越濃 口越淡
揀下d士多啤梨有無爛 揀人我真系唔識揀
G (Rap):士多啤梨啤梨蘋果橙 蘋果橙士多啤梨點樣揀
系咪 減一磅 佢就愛我多一晚
想愛一個人 使唔使咁艱難
士多啤梨啤梨蘋果橙
幸福比起初戀還簡單
我只 我只須減
水果當正餐 想得你盛讚
一點不好玩
T: 加或減之間 我跟生果你將會怎麼揀
假若肯清減 但願你贊",節奏律動・嘻哈舞曲群,0.23920412,0.36527693,0.28937307,0.32213655,0.29855245,0.319351,0
大人,梁靜茹,https://www.kkbox.com/tw/tc/song/9ZUvfGyus_ZpGvARQF,姚若龍,周興哲,吳加恩,,想用失聯去塵封的人 被時間給解放了 分分合合 苦澀都是真的 幸福也 是真的 不深愛了就不記恨了 不糾結了就懂了 只有自己 才能將自己困著 往自由的車 叫割捨 大人啊 是不停長大的人 能縮小了舊傷痕 越再生也越完整 大人啊 是淚當酒喝的人 讓算命都不準 絕望時分彷彿脆弱 又強韌 不再幽怨就能幽默了 不對抗就感性了 五味雜陳 鼻酸不已的片刻 是你低啞說 你錯了 大人啊 是不停長大的人 能縮小了舊傷痕 越再生也越完整 大人啊 是淚當酒喝的人 讓算的命都不準 絕望時彷彿脆弱 又強韌 大人啊 也是想被愛的人 把責任揹著等 被抱抱和心疼 大人啊 也是學不乖的人 有躁動的靈魂 想絢爛而玩火 卻焚身,暖心抒情・流行情歌群,0.3792902,0.53186333,0.4061656,0.39064378,0.34923735,0.39490914,1
大王叫我來巡山,賈乃亮 / 甜馨,,趙英俊,趙英俊,趙英俊,宋濤,"太陽對我眨眼睛
鳥兒唱歌給我聽
我是一個努力幹活兒
還不粘人的小妖精
別問我從哪裡來
也別問我到哪裡去
我要摘下最美的花兒
獻給我的小公舉
大王叫我來巡山
我把人間轉一轉
打起我的鼓
敲起我的鑼
生活充滿節奏感
大王叫我來巡山
抓個和尚做晚餐
這山澗的水
無比的甜
不羨鴛鴦不羨仙
太陽對我眨眼睛
鳥兒唱歌給我聽
我是一個努力幹活兒
還不粘人的小妖精
別問我哪裡來
也別問我到哪去
我要摘下最美的花兒
獻給我的小公舉
大王叫我來巡山
我把人間轉一轉
打起我的鼓
敲起我的鑼
生活充滿節奏感
大王叫我來巡山
抓個和尚做晚餐
這山澗的水
無比的甜
不羨鴛鴦不羨仙
大王大王叫我來巡山
大王大王他叫我來巡山
大王叫我來巡山
我把人間轉一轉
打起我的鼓
敲起我的鑼
生活充滿節奏感
大王叫我來巡山
抓個和尚做晚餐
這山澗的水
無比的甜
不羨鴛鴦不羨仙",心碎系・失戀情緒群,0.3800999,0.32280418,0.32649273,0.31886107,0.2821194,0.27345318,2
大地的泥,梁曉雪,,梁曉雪,梁曉雪,閆實,崔文正,"多少次我凝視著大地
腳下的泥變得很美麗
多少次我望眼欲穿的看著你
只是我看到了自己
多少次在夢中遇見你
穿過海揚帆在回憶裡
可時間吶已變成了大地
歲月啊踏成腳下的泥
就像一片風吹過的河流
淺淺的淡淡的
就像天邊最遠的雲吶
大地的孩子腳下的泥
就像一顆被安置的棋子
默默的靜靜的
就像一個試圖流浪的人吶
大地的孩子腳下的泥
大地的孩子腳下的泥
多少次在夢中遇見你
穿過海揚帆在回憶裡
可時間啊已變成了大地
歲月啊踏成腳下的泥
就像一片風吹過的河流
淺淺的淡淡的
就像天邊最遠的雲吶
大地的孩子腳下的泥
就像一個泥土中的花朵
深深的鮮豔的
就像一個逃離世間的人吶
大地的孩子腳下的泥
大地的孩子腳下的泥",能量爆發・搖滾帶感群,0.30030465,0.40646848,0.31866574,0.30440563,0.31949642,0.29732642,4
大城小愛,王力宏,,王力宏/陳鎮川/K.Tee,王力宏,王力宏,,"烏黑的髮尾盤成一個圈
纏繞所有對你的眷戀
隔著半透明門簾嘴裡說的語言
完全沒有欺騙
屋頂灰色瓦片安靜的畫面
燈火是你美麗那張臉
終於找到所有流浪的終點
你的微笑結束了疲倦
千萬不要說天長地久
免得你覺得我不切實際
想多麼簡單就多麼簡單
是媽媽告訴我的哲理
腦袋都是你心裡都是你
小小的愛在大城裡好甜蜜
唸的都是你全部都是你
小小的愛在大城裡只為你傾心
烏黑的髮尾盤成一個圈
纏繞所有對你的眷戀
終於找到所有流浪的終點
你的微笑結束了疲倦
千萬不要說天長地久
免得你覺得我不切實際
想多麼簡單就多麼簡單
讓我大聲的對你說
I'm thinking of you
腦袋都是你心裡都是你
小小的愛在大城裡好甜蜜
唸的都是你全部都是你
小小的愛在大城裡只為你傾心
那回城的票根你留做紀念
不必害怕面對離別
剪掉一絲頭髮讓我放在胸前
走到哪裡都有你陪
相隨
腦袋都是你心裡都是你
小小的愛在大城裡好甜蜜
唸的都是你全部都是你
小小的愛在大城裡只為你傾心
腦袋都是你心裡都是你
小小的愛在大城裡好甜蜜
OH~~唸的都是你全部都是你
小小的愛在大城裡只為你傾心
啦啦啦啦啦
烏黑的髮尾盤成一個圈
纏繞所有對你的眷戀
那一種寸步不離的感覺
我知道就叫做永遠",心碎系・失戀情緒群,0.47837085,0.47541085,0.50837857,0.41933843,0.39521146,0.42128438,2
大約在冬季,齊秦,,齊秦,齊秦,陳志遠,,"輕輕的我將離開你
請將眼角的淚拭去
漫漫長夜裡未來日子裡
親愛的你別為我哭泣
前方的路雖然太悽迷
請在笑容裡為我祝福
雖然迎著風雖然下著雨
我在風雨之中念著你
沒有你的日子裡
我會更加珍惜自己
沒有我的歲月裡
你要保重你自己
你問我何時歸故里
我也輕聲地問自己
不是在此時不知在何時
我想大約會是在冬季
不是在此時不知在何時
我想大約會是在冬季
輕輕的我將離開你
請將眼角的淚拭去
漫漫長夜裡未來日子裡
親愛的你別為我哭泣
前方的路雖然太悽迷
請在笑容裡為我祝福
雖然迎著風雖然下著雨
我在風雨之中念著你
沒有你的日子裡
我會更加珍惜自己
沒有我的歲月裡
你要保重你自己
你問我何時歸故里
我也輕聲地問自己
不是在此時不知在何時
我想大約會是在冬季
不是在此時不知在何時
我想大約會是在冬季
沒有你的日子裡
我會更加珍惜自己
沒有我的歲月裡
你要保重你自己
你問我何時歸故里
我也輕聲地問自己
不是在此時不知在何時
我想大約會是在冬季
不是在此時不知在何時
我想大約會是在冬季
不是在此時不知在何時
我想大約會是在冬季",心碎系・失戀情緒群,0.44640172,0.5285212,0.5476484,0.42049116,0.36679196,0.3758844,2
大風吹,曾沛慈,https://www.kkbox.com/tw/tc/song/Ok5Dl_Q3wySdKr7sPV,張簡君偉 / Oliver,張簡君偉 / Oliver,,,這年頭什麼都在變 人們拼了命不停追 用了幾年兜了幾個圈 才發現回到了原點 我們都被世界改變 好像也沒什麼不對 這就是人類 物競天擇適者生存 就不用說抱歉 親愛的 別流淚 沒有誰會虧欠誰 有快樂 有心碎 我們都問心無愧 好聚好散多珍貴 成熟的道別 我會記得擁抱你的感覺 親愛的 這些年 感謝有你在身邊 有藍天 有雨天 到不了的終點 大風吹 吹散了相愛的我們 可惜了這段緣分 我們都被世界改變 好像也沒什麼不對 這就是人類 物競天擇適者生存 就不用說抱歉 親愛的 別流淚 沒有誰會虧欠誰 有快樂 有心碎 我們都問心無愧 好聚好散多珍貴 成熟的道別 我會記得擁抱你的感覺 親愛的 這些年 感謝有你在身邊 有藍天 有雨天 到不了的終點 大風吹 吹散了相愛的我們 可惜了這段緣分 幸福的 美好的 請你要記得 難過的 務必請忘了 親愛的 別流淚 沒有誰會虧欠誰 有快樂 有心碎 我們都問心無愧 好聚好散多珍貴 成熟的道別 我會記得擁抱你的感覺 親愛的 這些年 感謝有你在身邊 有藍天 有雨天 到不了的終點 大風吹 吹散了相愛的我們 可惜了這段緣分 再見了 我親愛的,暖心抒情・流行情歌群,0.34011292,0.4616554,0.3138801,0.34572124,0.27826524,0.3333398,1
大風吹,草東沒有派對,,草東沒有派對,草東沒有派對,草東沒有派對,李孝祖,"大風吹著誰 誰就倒黴
每個人都想當鬼
都一樣的下賤
哭啊 喊啊
叫你媽媽帶你去買玩具啊
快 快拿到學校炫耀吧
孩子 交點朋友吧
哎呀呀
你看你手上拿的是什麼啊
那東西我們早就不屑啦
哈哈哈
哈
一樣又醉了 一樣又掉眼淚
一樣的屈辱 一樣的感覺
怪罪給時間 它給了起點
怪罪給時間 它給了終點
哭啊 喊啊
叫你媽媽帶你去買玩具啊
快 快拿到學校炫耀吧
孩子 交點朋友吧
哎呀呀
你看你手上拿的是什麼啊
那東西我們早就不屑啦
哈哈哈
哭啊 喊啊
叫你媽媽帶你去買玩具啊
快 快拿到學校炫耀吧
孩子 交點朋友吧
哭啊 喊啊
叫你媽媽帶你去買玩具啊
快 快拿到學校炫耀吧
孩子 交點朋友吧
哎呀呀
你看你手上拿的是什麼啊
那東西我們早就不屑啦
哈哈哈",節奏律動・嘻哈舞曲群,0.36932933,0.5437863,0.34149072,0.5821202,0.47154915,0.5883732,0
大家來跳Disco,張薔,,,,,,"讓我牽著你的手
隨著熱熱的節奏
快快樂樂地跳上一曲disco
轉轉身又擺擺頭
搖搖肩膀抬抬手
高高興興地跳上一曲disco
忘了煩惱忘了憂
只要歡樂不要愁
歡歡喜喜地跳上一曲disco
不分男女和老幼
轉眼之間大家已經
變成好朋友
嘿，嘿，時光好像悄悄回了頭
嘿，嘿，這是青春常在的時候
忘了煩惱忘了憂
只要歡樂不要愁
歡歡喜喜地跳上一曲disco
不分男女和老幼
轉眼之間大家已經
變成好朋友
張薔 《大家來跳disco》
讓我牽著你的手
隨著熱熱的節奏
快快樂樂地跳上一曲disco
轉轉身又擺擺頭
搖搖肩膀抬抬手
高高興興地跳上一曲disco
忘了煩惱忘了憂
只要歡樂不要愁
歡歡喜喜地跳上一曲disco
不分男女和老幼
轉眼之間大家已經
變成好朋友
嘿，嘿，時光好像悄悄回了頭
嘿，嘿，這是青春常在的時候
忘了煩惱忘了憂
只要歡樂不要愁
歡歡喜喜地跳上一曲disco
不分男女和老幼
轉眼之間大家已經
變成好朋友",節奏律動・嘻哈舞曲群,0.57762975,0.4546519,0.45463175,0.44274098,0.39568537,0.36024144,0
大展鴻圖,攬佬SKAI ISYOURGOD / AR劉夫陽,,攬佬SKAI ISYOURGOD/AR劉夫陽,攬佬SKAI ISYOURGOD/AR劉夫陽,Jacking/BEATLAB STUDIO,,"別墅裡面唱k
水池裡面銀龍魚
我送阿叔茶具
他研墨下筆直接給我四個字
大展鴻圖大師親手提筆字
大展鴻圖搬來放在辦公室
大展鴻圖關公都點頭
鴻運不能總是當頭因為
他說要玩就要玩的大
賊船越大老鼠才坐的下
得罪小人沒關係
得罪君子我看不起
世上君子不貪杯
等於得罪了道
黑灰藍白道亦有道
逆流才會水漲船高
愛財如命的人沒有義
我說是對兄弟不是pusy
細佬安之若命
顛佬聽天由命
攬佬拿把霜之哀傷
劍指妖魔革命
人太沉迷收米
人情軟過玻璃
江湖總是形形色色
誰還沒點詬病
阿叔喜歡看風景
街頭中無道
攬佬要沒錢也得博命搵
勞力士還是AMG
別墅裡面唱k
水池裡面銀龍魚
我送阿叔茶具
他研墨下筆直接給我四個字
大展鴻圖大師親手提筆字
大展鴻圖搬來放在辦公室
大展鴻圖關公都點頭
鴻運不能總是當頭因為
騎樓混著，66 大順 man we good
(無錯)
騎行越秀，小北淘金我的 hood
(無錯)
帝女花，是我的 《California love》
聽任劍輝跟白雪仙，白雲吃個農家樂
太平館西餐廳搬了，但精氣神還在這
敵人幻想變泡沫，像燒臘店的外賣盒
路上買個九爺雞，火鍋裡燙個娃娃菜
那宵夜來自大排檔，我們卻被人當大牌
廣東人系北京，唱住粵語 rap man we Stand up，
話 Stand 唔到概，d 佢到佢阿媽都唔認得
珠江 skr，當我賽龍舟，然後啫啫煲，同 yum 涼茶
uhh，cook cook cook
中華小當家
廣東街頭潮流 trendsetter
海印打口 CD 箱子肩揹著
在那 spa 游泳池，水質必須夠乾淨，
這是""潛規則""
老字號絕不會變味了
叉燒包加蜂蜜點綴著
吃的粽子絕對是那鹼水的
大展宏圖，我練字練累了
Then I pusssssh
別墅裡面唱k
水池裡面銀龍魚
我送阿叔茶具
他研墨下筆直接給我四個字
大展鴻圖大師親手提筆字
大展鴻圖搬來放在辦公室
大展鴻圖關公都點頭
鴻運不能總是當頭因為",節奏律動・嘻哈舞曲群,0.32512873,0.4175756,0.31834376,0.4963462,0.42747647,0.47853488,0
大海,韋禮安,https://www.kkbox.com/tw/tc/song/4pElvkWxiO7N7xcxKZ,陳大力,陳大力 / 陳秀男,,,從那遙遠海邊 慢慢消失的你 本來模糊的臉 竟然漸漸清晰 想要說些什麼 又不知從何說起 只有把它放在心底 茫然走在海邊 看那潮來潮去 徒勞無功 想把每朵浪花記清 想要說聲愛你 卻被吹散在風裡 猛然回頭 你在那裡 如果大海能夠喚回曾經的愛 就讓我用一生等待 如果深情往事你已不再留戀 就讓它隨風飄遠 如果大海能夠帶走我的哀愁 就像帶走每條河流 所有受過的傷 所有流過的淚 我的愛 請全部帶走 茫然走在海邊 看那潮來潮去 徒勞無功 想把每朵浪花記清 想要說聲愛你 卻被吹散在風裡 猛然回頭 你在那裡 如果大海能夠喚回曾經的愛 就讓我用一生等待 如果深情往事你已不再留戀 就讓它隨風飄遠 如果大海能夠帶走我的哀愁 就像帶走每條河流 所有受過的傷 所有流過的淚 我的愛 請全部帶走 全部帶走 全部帶走,正能量・勵志流行群,0.32725373,0.46101144,0.3867048,0.35123107,0.3664803,0.35222208,5
大眠,王心凌,,施人誠,張簡君偉,遊政豪,張簡君偉,"感謝他把我 當成傻子
每天都哄我 上當一次
清醒一輩子 也就那樣子
不介意用愛 來醉生夢死
原來被催眠 真有意思
我樂於作個 敬業人質
沒空再去對誰解釋
是我自己把自己挾持
不關他的事
都快忘了怎樣戀一個愛
我被虛度了的青春
也許還能活過來
說心疼我的更應該明白
我當然會沉醉個痛快
就讓我陪他戀完這場愛
只求心花終於盛開
就沒有別的期待
等夢完醒來 再去收拾殘骸
原來被催眠 真有意思
我樂於作個 敬業人質
沒空再去對誰解釋
是我自己把自己挾持
不關他的事
都快忘了怎樣戀一個愛
我被虛度了的青春
也許還能活過來
說心疼我的更應該明白
我當然會沉醉個痛快
就讓我陪他戀完這場愛
只求心花終於盛開
就沒有別的期待
等夢完醒來 再去收拾殘骸
如果不失去理智
愛情要從何開始
傻傻的騙子
和騙人的傻子
才可能一生一世
都快忘了怎樣戀一個愛
我被虛度了的青春
也許還能活過來
說心疼我的更應該明白
我當然會沉醉個痛快
就讓我陪他戀完這場愛
只求心花終於盛開
就沒有別的期待
等夢完醒來
再去收拾殘骸",戀愛甜系・溫柔告白群,0.34166658,0.344422,0.31837207,0.24362259,0.2148991,0.27200466,3
大魚 (唱片版),周深,,尹約,錢雷,錢雷,尹約,"海浪無聲將夜幕深深淹沒
漫過天空盡頭的角落
大魚在夢境的縫隙裡遊過
凝望你沉睡的輪廓
看海天一色 聽風起雨落
執子手吹散蒼茫茫煙波
大魚的翅膀 已經太遼闊
我鬆開時間的繩索
怕你飛遠去 怕你離我而去
更怕你永遠停留在這裡
每一滴淚水 都向你流淌去
倒流進天空的海底
海浪無聲將夜幕深深淹沒
漫過天空盡頭的角落
大魚在夢境的縫隙裡遊過
凝望你沉睡的輪廓
看海天一色 聽風起雨落
執子手吹散蒼茫茫煙波
大魚的翅膀 已經太遼闊
我鬆開時間的繩索
看你飛遠去 看你離我而去
原來你生來就屬於天際
每一滴淚水 都向你流淌去
倒流回最初的相遇",能量爆發・搖滾帶感群,0.26353508,0.3903324,0.3249652,0.35430932,0.4154765,0.33733916,4
大齡女子,彭佳慧,,陳宏宇,蕭煌奇,,,眼睛彷佛起了霧也許只是鏡片模糊除了自己 已經很久沒接觸另一個人體貼照顧或那一種交流相處和愛情 顯得生疏因為倔強的緣故錯過緣份遇缺未補不要束縛 卻又被流年困住櫃子裡的那一件最美的衣服它還在等能不能被在乎女人啊我們都曾經期待 能嫁個好丈夫愛得一塌糊塗也不要一個人做主想像未來可以手牽著手的路相信緣份的人好像就不會那麼辛苦親愛的我們誰不曾盼望 有一份好歸宿能夠直到永遠幸福啊不會被攔阻總有一天可以被所有人羨慕真愛也許只是遲到一步因為倔強的緣故錯過緣份遇缺未補不要束縛 卻又被流年困住櫃子裡的那一件最美的衣服它還在等 是否有人在乎親愛的我們誰不曾盼望 有一份好歸宿能夠直到永遠幸福啊不會被攔阻總有一天可以被所有人羨慕真愛也許只是遲到一步偏偏寂寞總是難相處偏偏難過就是捱不住不知道 為了什麼哭女人啊我們都曾經期待 能嫁個好丈夫愛得一塌糊塗也不要一個人做主想像未來可以手牽著手的路相信緣份的人好像就不會那麼辛苦親愛的我們誰不曾盼望 有一份好歸宿能夠直到永遠幸福啊不會被攔阻總有一天可以被所有人羨慕雖然現在 還是一個人住雖然現在 還是一個人,暖心抒情・流行情歌群,0.20378189,0.30528563,0.2799529,0.16600858,0.31606635,0.21277586,1
女人花,梅豔芳,,李安修,陳耀川,Ricky Ho,陳耀川,"我有花一朵
種在我心中
含苞待放意幽幽
朝朝與暮暮
我切切地等候
有心的人來入夢
女人花 搖曳在紅塵中
女人花 隨風輕輕擺動
只盼望 有一雙溫柔手
能撫慰 我內心的寂寞
我有花一朵
花香滿枝頭
誰來真心尋芳蹤
花開不多時
啊堪折直須折
女人如花花似夢
我有花一朵
長在我心中
真情真愛無人懂
遍地的野草
已佔滿了山坡
孤芳自賞最心痛
女人花 搖曳在紅塵中
女人花 隨風輕輕擺動
只盼望 有一雙溫柔手
能撫慰 我內心的寂寞
女人花 搖曳在紅塵中
女人花 隨風輕輕擺動
若是你 聞過了花香濃
別問我 花兒是為誰紅
愛過知情重
醉過知酒濃
花開花謝終是空
緣分不停留
像春風來又走
女人如花花似夢
緣分不停留
像春風來又走
女人如花花似夢
女人如花花似夢",心碎系・失戀情緒群,0.39287663,0.43819502,0.4046558,0.30603054,0.34769464,0.2686179,2
女士優先,老莫,https://www.kkbox.com/tw/tc/song/Gn6nTOg2JNIVITf96L,老莫 ILL MO/?te壞特/Tower da Funkmasta,老莫 ILL MO/?te壞特/Tower da Funkmasta,,Tower da Funkmasta,上班 等下班 盯著時鐘 上看 又下看 另個時空 平行的 世界有另一個我 等著鬆 等著天時地利的我 打給你 在哪裡 answer me在房裡 想與你 共嚐喪失記憶的果 與你分享祕密的裸 在繁忙的生活中有個密閉空間可躲 喔 什麼都不必說 與妳現在多美好沒在想以後 我們聊雞毛蒜皮 芝麻綠豆 妳這樣的女孩我這輩子沒遇過 讓我那麼輕鬆 把煩惱清空 舒壓的秘方有很多妳樣樣精通 叮咚 我按了門鈴 開門吻妳 進了門裡 讓慵懶開始囤積 呼搭比嘟打搭 下班後陪我看看電影 呼搭比嘟打搭 想要鬆 當我的遙控器 呼搭比嘟打搭 賴在家 幫我叫Uber Eat 調一杯Gin Tonic Aint want nothing just you and me 躺在沙發上 暗房裡的電視螢幕 特別亮 我希望天別亮 感情在增溫 我希望先別降 謝絕亮 電燈泡的打擾先別講 太多 講的太嚴肅先別醬 把漂亮的別針替妳先別上 妳的頭髮好香 我笑得像個癡漢 不用那麼高鋼 叫外送就能吃飯 讓妳先選 因為女 士優先 我的態度果斷堅決不 是鞦韆 丟的梗你接得住著無 視丟偏 心中糾結被緩解反而 是悠閒 是有點喜歡這樣 有點喜歡妳 優點有點多 你像是我的迷幻劑 眾人齊歎息 我可能已上癮 可能罹患妳 未來一半我一半妳 呼搭比嘟打搭 下班後陪我看看電影 呼搭比嘟打搭 想要鬆 當我的遙控器 呼搭比嘟打搭 賴在家 幫我叫Uber Eat 調一杯Gin Tonic Aint want nothing just you and me 呼搭比嘟打搭 下班後陪我看看電影 呼搭比嘟打搭 想要鬆 當我的遙控器 呼搭比嘟打搭 賴在家 幫我叫Uber Eat 調一杯Gin Tonic Aint want nothing just you and me,正能量・勵志流行群,0.35855532,0.43931004,0.43560702,0.33664334,0.3676598,0.33306116,5
小小,容祖兒,,方文山,周杰倫,林邁可,林邁可,"回憶像個說書的人
用充滿鄉音的口吻
跳過水坑 繞過小村
等相遇的緣分
你用泥巴捏一座城
說將來要娶我進門
轉多少身 過幾次門
虛擲青春
小小的誓言還不穩
小小的淚水還在撐
稚嫩的唇
在說離分
我的心裡從此住了一個人
曾經模樣小小的我們
那年你搬小小的板凳
為戲入迷我也一路跟
我在找那個故事裡的人
你是不能缺少的部分
你在樹下小小的打盹
小小的我傻傻等
回憶像個說書的人
用充滿鄉音的口吻
跳過水坑 繞過小村
等相遇的緣分
你用泥巴捏一座城
說將來要娶我進門
轉多少身 過幾次門
虛擲青春
小小的感動雨紛紛
小小的彆扭惹人疼
小小的人
還不會吻
我的心裡從此住了一個人
曾經模樣小小的我們
那年你搬小小的板凳
為戲入迷我也一路跟
我在找那個故事裡的人
你是不能缺少的部分
你在樹下小小的打盹
小小的我傻傻等
我的心裡從此住了一個人
曾經模樣小小的我們
當初學人說愛念劇本
缺牙的你發音卻不準
我在找那個故事裡的人
你是不能缺少的部分
小小的手牽小小的人
守著小小的永恆",正能量・勵志流行群,0.31491584,0.48277166,0.32823098,0.43011257,0.3586565,0.41755363,5
小心翻閱 (Going Through),孫盛希,https://www.kkbox.com/tw/tc/song/Clby8wlYFKtg3r12_o,孫盛希 Shi Shi / 張伍 Chang Wu,孫盛希 Shi Shi / 米奇林 MCKY,王韻筑 Liv W.,,那童年的圍牆 早就 什麼也攔不下 啤酒 不再意味長大 表情 需要更多的包裝 那句話是否在心裡築起一道牆 那句話是否也治癒了傷 而話語四季輪迴 披上不同的面紗 變成唯一解答 時間在風化 每段記憶 慢慢的重劃 每段秘密 輪廓石化在腦裡 形成另一個你 帶來的 被帶走的 誰能夠完整留著 與時針翻閱著生命 有好好告別嗎 那些 沒能說出的話 背影 又冷漠的阻擋 關於 未來可能的猜想 那句話是否在心裡築起一道牆 那句話是否也治癒了傷 而話語四季輪迴 披上不同的面紗 變成唯一解答 時間在風化 每段記憶 慢慢的重劃 每段秘密 輪廓石化在腦裡 形成另一個你 帶來的 被帶走的 誰能夠完整留著 與時針翻閱著生命 才明白那模糊的曾經,正能量・勵志流行群,0.17248812,0.3914499,0.28025162,0.3595354,0.37778208,0.35263267,5
小手拉大手,梁靜茹,https://www.kkbox.com/tw/tc/song/Sm35W8Yp2bwp6xNeg1,TSUJIAYSNO,TSUJIAYANO,,,"還記得那場音樂會的煙火 還記得那個涼涼的深秋
還記得人潮把你推向了我 遊樂園擁擠的正是時候
一個夜晚堅持不睡的等候 一起泡溫泉奢侈的享受
有一次日記裏愚蠢的困惑 因為你的微笑幻化成風

你大大的勇敢保護著我 我小小的關懷喋喋不休
感謝我們一起走了那麼久 又再一次回到涼涼深秋

給你我的手 像溫柔野獸 把自由交給草原的遼闊
我們小手拉大手 一起郊遊 今天別想太多
你是我的夢 像北方的風 吹著南方暖洋洋的哀愁
我們小手拉大手 今天加油 向昨天揮揮手


還記得那場音樂會的煙火 還記得那個涼涼的深秋
還記得人潮把你推向了我 遊樂園擁擠的正是時候
一個夜晚堅持不睡的等候 一起泡溫泉奢侈的享受
有一次日記裏愚蠢的困惑 因為你的微笑幻化成風

你大大的勇敢保護著我 我小小的關懷喋喋不休
感謝我們一起走了那麼久 又再一次回到涼涼深秋

給你我的手 像溫柔野獸 我們一直就這樣向前走
我們小手拉大手 一起郊遊 今天別想太多
你是我的夢 像北方的風 吹著南方暖洋洋的哀愁
我們小手拉大手 今天加油 向昨天揮揮手
給你我的手 像溫柔野獸 我們一直就這樣向前走
我們小手拉大手 一起郊遊 今天別想太多 像北方的風 吹著南方暖洋洋的哀愁
我們小手拉大手 今天加油 向昨天揮揮手

我們小手拉大手 今天為我加油 捨不得揮揮手
",能量爆發・搖滾帶感群,0.46687186,0.4373869,0.45423448,0.4162506,0.40842783,0.37772948,4
小宇宙 (蘇打綠版),蘇打綠,,吳青峰,吳青峰,,,"左手邊有個年輕人插隊
看一眼看一眼眼神充滿不屑
電扶梯一對情侶相依偎
你看我我看你擋在走道左邊
右手邊一個婦人丟紙屑
走向前走向前好像沒有不對
公車站車門停在我面前
擠向前擠向前把我擠迴路邊
賣衣服的店員態度就好像
我花錢我花錢只是買他臭臉
不太熟的朋友靠近我身邊
他的嘴他的臉充滿世故氣味
為何這城市為所欲為
我只要只屬於我的宇宙
給自己一些從來沒有過的
寧靜快樂季節
已老去的歲月化成蝴蝶
都飛翔在我的房間
向時間交換來的新語言
和心上的山水說聲謝謝
面對著那些不美的世界
都不想不去掛念
左手邊車水馬龍吐著煙
壓過線闖過街直到我看不見
右手邊充滿暴躁的情節
一支筆一條線通通劃下句點
回到我的世界
無謂的事都走遠
左手邊窗簾拉開了一些
我的房間我的身邊多了一些光線
一瞬間瞳孔縮小了一些
我的房間我的身邊充滿鮮豔藍天
右手邊音樂放大了一些
我的房間我的身邊多了一些氣味
一瞬間心門拉開了一些
我的房間我的身邊充滿想象空間
給自己一些從來沒有過的
寧靜快樂季節
已老去的歲月化成蝴蝶
都飛翔在我的房間
向時間交換來的新語言
和心上的山水說聲謝謝
面對著那些不美的世界
都不想不去掛念",節奏律動・嘻哈舞曲群,0.25392616,0.36927086,0.22216108,0.4234505,0.4110961,0.43774858,0
